,loss_plot,test_loss_plot,name,bleu1,bleu2,bleu3,bleu4
0,1.3065156936645508,1.1106622219085693,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
1,1.01387357711792,1.0302183628082275,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
2,0.9182881712913513,1.0103644132614136,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
3,0.8517200350761414,1.0054935216903687,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
4,0.7984408736228943,1.016739010810852,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
5,0.7515068054199219,1.0291242599487305,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
6,0.7103402614593506,1.0465097427368164,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
7,0.6727346181869507,1.0704349279403687,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
8,0.6380274891853333,1.0947353839874268,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
9,0.6050822734832764,1.1252996921539307,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
10,0.5740621089935303,1.1489533185958862,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
11,0.5461001396179199,1.1724330186843872,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
12,0.5208463072776794,1.2059756517410278,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
13,0.4949575364589691,1.2360285520553589,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
14,0.4729304015636444,1.26875901222229,batch_64_lr_0.001_embedding_dim_256_lr_decay_factor_1,0.6666666666666666,0.408248290463863,0.5841906810678655,0.6389431042462724
